COMMIT  |     SIZE |     DIFF | MESSAGE                                                      | OUTPUT
eab4f27 |  2.58 KB |          | adds comment to generated file                               | # dist/index.html.zip <=== 2.58 KB
495bfa9 |  2.58 KB |          | animation time_unit modification                             | # dist/index.html.zip <=== 2.58 KB
354aff4 |  2.58 KB |          | Merge branch 'asset-stringify'                               | # dist/index.html.zip <=== 2.58 KB
9c78554 |  2.58 KB |          | img: image stringify                                         | # dist/index.html.zip <=== 2.58 KB
d634ad7 |  2.58 KB |          | grunt: adds pngmin / asset-stringify tasks                   | # dist/index.html.zip <=== 2.58 KB
1222f6d |  1.76 KB |          | grunt: renames fn                                            | # dist/index.html.zip <=== 1.76 KB
a7978d4 |  1.76 KB |          | Merge branch 'build-fix'                                     | # dist/index.html.zip <=== 1.76 KB
4e80d33 |  1.76 KB |          | fixes build about file size reporting                        | # dist/index.html.zip <=== 1.76 KB
868d1fe |          |        - | grunt: adds file size reporting                              | Warning: Task "size_report" not found. Use --force to conti
9d7239b |          |        - | grunt: minor retweak so builders are equal                   | build/index.html
2cc0e59 |          |        - | grunt: removes unnecessary tasks                             | build/index.html
28bc2a9 |          |        - | adds simple player image                                     | dist/index.html
e17ae17 |          |        - | base animation speed on ellapsed time                        | dist/index.html
9bf811a |          |        - | fixes unneccesary semicolon                                  | dist/index.html
6de70ea |          |        - | use the buffered ctx reference if possible                   | dist/index.html
2a5f05f |          |        - | adds setDraw method                                          | dist/index.html
efe8701 |          |        - | Merge branch 'gitlab-yaml'                                   | dist/index.html
0fb989a |          |        - | build: adds gitlab ci integration                            | dist/index.html
a863878 |          |        - | fixes build                                                  | dist/index.html
dd4b453 |          |        - | Added basic title screen                                     | dist/index.html
1b234b3 |          |          | init: adds skeleton based on js13k-prep                      | dist/index.html
